X-Axis Value,Y-Axis Value,Y-Axis Status,Phase,Phase Status,Speed,Speed Status,Y-Axis 2 Value
14-09-2021 05:36,0.399,Valid,0,Valid,80,Valid,0.999
14-09-2021 05:37,0.499,Valid,0,Valid,90,Valid,0.901
14-09-2021 05:38,0.599,Valid,0,Valid,100,Valid,0.9
14-09-2021 05:39,0.199,Valid,0,Valid,99,Valid,0.899
14-09-2021 05:40,0.599,Valid,0,Valid,70,Valid,0.799
14-09-2021 05:41,0.499,Valid,0,Valid,80,Valid,0.799
14-09-2021 05:42,0.699,Valid,0,Valid,100,Valid,0.799
14-09-2021 05:43,0.399,Valid,0,Valid,100,Valid,0.789
14-09-2021 05:44,0.499,Valid,0,Valid,100,Valid,0.789
14-09-2021 05:45,0.599,Valid,0,Valid,100,Valid,0.699
14-09-2021 05:46,0.199,Valid,0,Valid,100,Valid,0.699
14-09-2021 05:47,0.599,Valid,0,Valid,80,Valid,0.699
14-09-2021 05:48,0.499,Valid,0,Valid,90,Valid,0.599
14-09-2021 05:49,0.699,Valid,0,Valid,100,Valid,0.599
14-09-2021 05:50,0.199,Valid,0,Valid,99,Valid,0.599
14-09-2021 05:51,0.799,Valid,0,Valid,70,Valid,0.599
14-09-2021 05:52,0.789,Valid,0,Valid,80,Valid,0.599
14-09-2021 05:53,0.901,Valid,0,Valid,100,Valid,0.599
14-09-2021 05:54,0.599,Valid,0,Valid,110,Valid,0.499
14-09-2021 05:55,0.199,Valid,0,Valid,100,Valid,0.499
14-09-2021 05:56,0.599,Valid,0,Valid,40,Valid,0.499
14-09-2021 05:57,0.499,Valid,0,Valid,50,Valid,0.499
14-09-2021 05:58,0.699,Valid,0,Valid,80,Valid,0.499
14-09-2021 05:59,0.199,Valid,0,Valid,90,Valid,0.399
14-09-2021 06:00,0.799,Valid,0,Valid,100,Valid,0.399
14-09-2021 06:01,0.789,Valid,0,Valid,99,Valid,0.199
14-09-2021 06:02,0.999,Valid,0,Valid,70,Valid,0.199
14-09-2021 06:03,0.9,Valid,0,Valid,80,Valid,0.199
14-09-2021 06:04,0.799,Valid,0,Valid,60,Valid,0.199
14-09-2021 06:05,0.899,Valid,0,Valid,100,Valid,0.199
